year,level_of_education,level,no_of_classes,ave_class_size
1982,Primary,All,8200,35
1982,Primary,Primary 1,1072,36.9
1982,Primary,Primary 2,1137,37.5
1982,Primary,Primary 3,1251,37.3
1982,Primary,Primary 4,1457,33.8
1982,Primary,Primary 5,1442,33
1982,Primary,Primary 6,1648,33.8
1982,Primary,Primary 7,193,27.5
1982,Primary,Primary 8,0,0
1982,Secondary,All,4851,32.2
1982,Secondary,Secondary 1,1129,34.5
1982,Secondary,Secondary 2,1272,35.4
1982,Secondary,Secondary 3,1424,26
1982,Secondary,Secondary 4,1026,34.5
1982,Secondary,Secondary 5,0,0
1982,Pre-University,All,0,0
1982,Pre-University,PreU 1,0,0
1982,Pre-University,PreU 2,0,0
1982,Pre-University,PreU 3,0,0
1983,Primary,All,8166,35.6
1983,Primary,Primary 1,1094,39.5
1983,Primary,Primary 2,1044,38.3
1983,Primary,Primary 3,1113,38.5
1983,Primary,Primary 4,1333,35.4
1983,Primary,Primary 5,1458,34.2
1983,Primary,Primary 6,1443,33.7
1983,Primary,Primary 7,496,27.7
1983,Primary,Primary 8,185,27.5
1983,Secondary,All,4750,34
1983,Secondary,Secondary 1,1036,36.3
1983,Secondary,Secondary 2,1072,35.9
1983,Secondary,Secondary 3,1459,31.2
1983,Secondary,Secondary 4,1183,33.5
1983,Secondary,Secondary 5,0,0
1983,Pre-University,All,0,0
1983,Pre-University,PreU 1,0,0
1983,Pre-University,PreU 2,0,0
1983,Pre-University,PreU 3,0,0
1984,Primary,All,8127,35.5
1984,Primary,Primary 1,999,38.7
1984,Primary,Primary 2,1116,38.9
1984,Primary,Primary 3,1055,38.1
1984,Primary,Primary 4,1205,35.9
1984,Primary,Primary 5,1354,35.2
1984,Primary,Primary 6,1449,34.5
1984,Primary,Primary 7,461,26.8
1984,Primary,Primary 8,488,26.7
1984,Secondary,All,4890,33.6
1984,Secondary,Secondary 1,1000,37.6
1984,Secondary,Secondary 2,1044,36.8
1984,Secondary,Secondary 3,1265,30.8
1984,Secondary,Secondary 4,1581,31.3
1984,Secondary,Secondary 5,0,0
1984,Pre-University,All,0,0
1984,Pre-University,PreU 1,0,0
1984,Pre-University,PreU 2,0,0
1984,Pre-University,PreU 3,0,0
1985,Primary,All,7854,35.4
1985,Primary,Primary 1,1019,38.7
1985,Primary,Primary 2,1043,37.3
1985,Primary,Primary 3,1138,38.2
